TDP,Strategy,Iteration,SuccessRate,AppSetSchedulability,TotalExecutionTime,AverageExecutionTime,CriticalPathLength,Hyperperiod,TotalTasks,ScheduledTasks,Makespan,AlgorithmRuntimeMs
10.00,4,40,1.000000,1.0,118.0,1.5,9.8,40.0,80,0,0,131
10.00,0,41,1.000000,1.0,126.0,1.6,9.6,40.0,80,0,0,134
10.00,1,42,1.000000,1.0,126.0,1.6,9.6,40.0,80,0,0,122
10.00,2,43,1.000000,1.0,126.0,1.6,9.6,40.0,80,0,0,122
10.00,3,44,1.000000,1.0,126.0,1.6,9.6,40.0,80,0,0,130
10.00,4,45,1.000000,1.0,126.0,1.6,9.6,40.0,80,0,0,129
10.00,0,46,1.000000,1.0,129.0,1.6,9.4,40.0,80,0,0,135
10.00,1,47,1.000000,1.0,129.0,1.6,9.4,40.0,80,0,0,131
10.00,2,48,1.000000,1.0,129.0,1.6,9.4,40.0,80,0,0,127
10.00,3,49,1.000000,1.0,129.0,1.6,9.4,40.0,80,0,0,127
10.00,4,50,1.000000,1.0,129.0,1.6,9.4,40.0,80,0,0,135
10.00,0,1,1.000000,1.0,119.0,1.5,8.4,40.0,80,0,0,128
10.00,1,2,1.000000,1.0,119.0,1.5,8.4,40.0,80,0,0,129
10.00,2,3,1.000000,1.0,119.0,1.5,8.4,40.0,80,0,0,120
10.00,3,4,1.000000,1.0,119.0,1.5,8.4,40.0,80,0,0,132
10.00,4,5,1.000000,1.0,119.0,1.5,8.4,40.0,80,0,0,135
10.00,0,6,1.000000,1.0,116.0,1.4,7.0,40.0,80,0,0,126
10.00,1,7,1.000000,1.0,116.0,1.4,7.0,40.0,80,0,0,127
10.00,2,8,1.000000,1.0,116.0,1.4,7.0,40.0,80,0,0,122
10.00,3,9,1.000000,1.0,116.0,1.4,7.0,40.0,80,0,0,125
10.00,4,10,1.000000,1.0,116.0,1.4,7.0,40.0,80,0,0,127
10.00,0,11,1.000000,1.0,124.0,1.6,7.4,40.0,80,0,0,137
10.00,1,12,1.000000,1.0,124.0,1.6,7.4,40.0,80,0,0,127
